Date,Description,Transaction Type,Amount
14/11/2023,Coffee Shop,CASH,-195.23
14/11/2023,Coffee Shop,CASH,-11.35
15/11/2023,Gas Station,CARD,-182.21
15/11/2023,Online Shopping,CARD,-195.29
16/11/2023,Coffee Shop,CASH,-44.14
16/11/2023,Bookstore Purchase,CARD,-128.37
17/11/2023,Gym Membership,CASH,-111.83
17/11/2023,Online Shopping,CASH,-25.13
17/11/2023,Utility Bill,CARD,-166.53
17/11/2023,Utility Bill,CARD,-195.11
17/11/2023,Utility Bill,CARD,-184.17
17/11/2023,Coffee Shop,CASH,-153.8
18/11/2023,Online Shopping,CARD,-17.88
18/11/2023,Restaurant,CASH,-16.22
18/11/2023,Online Shopping,CARD,-40.61
18/11/2023,Utility Bill,CARD,-154.96
19/11/2023,Grocery Store,CARD,-102.71
19/11/2023,Restaurant,CASH,-114.71
19/11/2023,Gas Station,CARD,-131.34
20/11/2023,Restaurant,CARD,-177.6
20/11/2023,Online Shopping,CARD,-97.05
21/11/2023,Online Shopping,CARD,-143.37
21/11/2023,Online Shopping,CASH,-158.78
21/11/2023,Coffee Shop,CASH,-52.76
21/11/2023,Restaurant,CARD,-153.86
21/11/2023,Coffee Shop,CARD,-199.75
21/11/2023,Grocery Store,CASH,-124.18
21/11/2023,Online Shopping,CASH,-95.4
21/11/2023,Gas Station,CARD,-137.33
21/11/2023,Utility Bill,CARD,-49.28
22/11/2023,Restaurant,CARD,-158.59
22/11/2023,Coffee Shop,CASH,-83.7
22/11/2023,Gas Station,CARD,-98.03
22/11/2023,Coffee Shop,CARD,-21.54
22/11/2023,Utility Bill,CARD,-177.31
23/11/2023,Restaurant,CASH,-142.83
23/11/2023,Utility Bill,CARD,-169.36
23/11/2023,Bookstore Purchase,CARD,-178.96
23/11/2023,Coffee Shop,CARD,-162.07
24/11/2023,Restaurant,CARD,-16.3
24/11/2023,Online Shopping,CARD,-181.02
24/11/2023,Gym Membership,CARD,-191.77
25/11/2023,Utility Bill,CASH,-115.37
25/11/2023,Gas Station,CASH,-199.27
25/11/2023,Coffee Shop,CASH,-46.33
25/11/2023,Online Shopping,CARD,-38.66
26/11/2023,Gas Station,CARD,-87.08
26/11/2023,Gym Membership,CARD,-54.67
27/11/2023,Gas Station,CASH,-109.15
28/11/2023,Grocery Store,CARD,-150.83
28/11/2023,Utility Bill,CASH,-174.9
28/11/2023,Grocery Store,CASH,-89.86
28/11/2023,Bookstore Purchase,CARD,-105.17
29/11/2023,Utility Bill,CARD,-125.63
29/11/2023,Coffee Shop,CARD,-146.57
30/11/2023,Utility Bill,CARD,-94.26
,,,
